tegdma,h (um),noz,sub,vf (mm/s),column,dep var,index,vs (mm/s),Period (s),StdEr period (s),Period (mm),StdEr period (mm),Top value,StdEr top value,Bot value,StdEr bot value,Amplitude,StdEr amplitude
25,150,FDTS,film,1.5,4,up right noz dist (mm),1,4.5,0.4186386688461372,0.2604723618969422,1.8838740098076174,1.1721256285362398,0.09308187149411455,0.0007598304242209459,0.028071215965516722,0.0008742835468334187,0.06428033887870609,0.0009787076394351206
25,150,FDTS,film,1.5,5,up right sub dist (mm),1,4.5,0.37457144054654457,0.21500939139588085,1.6855714824594505,0.9675422612814638,0.04172413791707811,0.0013112341073649673,0.11664247881446474,0.00220922968282244,0.07629884523171868,0.001689422316709191
25,150,FDTS,film,1.5,6,up right Si dist (mm),1,4.5,0.37457144054654457,0.23883868597653807,1.6855714824594505,1.0747740868944213,0.6916500185320201,0.007819006835537344,0.4523734929343697,0.004955671367341795,0.22957357764097547,0.00780610465759184
25,150,FDTS,film,1.5,7,up left noz dist (mm),1,4.5,0.3966050546963409,0.011202601069164127,1.784722746133534,0.05041170481123857,0.0974862182457001,0.000669493978278995,0.07622592455165951,0.0019371618751864803,0.022812125486127217,0.0017074069066579365
25,150,FDTS,film,1.5,8,up left sub dist (mm),1,4.5,0.3966050546963409,0.14335966351310242,1.784722746133534,0.6451184858089609,0.02953587483787811,0.000880777921020129,0.04660454515449673,0.0007697019429889588,0.017044767457698597,0.0015609863666289226
25,150,FDTS,film,1.5,9,up left Si dist (mm),1,4.5,0.40762186177123905,0.054394225964752796,1.8342983779705757,0.24477401684138758,0.36373227289465,0.017823729328554583,0.1944888209938777,0.01634059628108156,0.219559072736137,0.020886550608605507
25,150,FDTS,film,1.5,10,up mid noz dist (mm),1,4.5,0.39660505469634266,0.2507233291326572,1.784722746133542,1.1282549810969575,0.07311259894184789,0.001276379931398995,0.10634312449773478,0.0008077922970515209,0.03216546451069144,0.0015530434953296218
25,150,FDTS,film,1.5,11,up mid sub dist (mm),1,4.5,0.4186386688461372,0.24018373799642923,1.8838740098076174,1.0808268209839316,0.061650876913604644,0.0020931688855068352,0.02892647231825709,0.0013637033089126244,0.03655792937252613,0.0017077064239122643
25,150,FDTS,film,1.5,12,up mid Si dist (mm),1,4.5,0.6279580032692058,0.3281825282256749,2.825811014711426,1.476821377015537,0.4186220410786842,0.006748798668379381,0.5055308407034051,0.0038288653659695974,0.07318635757871234,0.0079136679085105
25,150,FDTS,film,1.5,13,down right noz dist (mm),1,4.5,0.4516890900708326,0.32219844704266337,2.0326009053187466,1.4498930116919853,0.04998100694853734,0.005672147904923772,0.002591512056338834,0.001515202654152451,0.04934757161607957,0.004465924383095952
25,150,FDTS,film,1.5,14,down right sub dist (mm),1,4.5,0.5288067395951224,0.4334522107664478,2.3796303281780506,1.950534948449015,0.16194890611504636,0.016434451333779396,0.08050550609407445,0.017135074145276662,0.06446818345251754,0.019966534185425246
25,150,FDTS,film,1.5,15,down right Si dist (mm),1,4.5,0.7711764952428855,0.24656900642831608,3.4702942285929845,1.1095605289274224,-0.008892286894919848,4.053265852809571e-6,-0.06612549306374473,0.01801486364464527,0.05722254848074513,0.018016228490800444
25,150,FDTS,film,1.5,16,down left noz dist (mm),1,4.5,0.37457144054654457,0.022684994195552068,1.6855714824594505,0.1020824738799843,0.001689622037538575,0.007906966316064384,0.04757572811016758,0.006695271641455987,0.02940036437282879,0.005746095613099861
25,150,FDTS,film,1.5,17,down left sub dist (mm),1,4.5,0.3966050546963409,0.22595050842942324,1.784722746133534,1.0167772879324046,0.014990354552814137,0.00536087568660963,0.0375232433608388,0.004846036049975893,0.016252358579047096,0.003494211567846349
25,150,FDTS,film,1.5,18,down left Si dist (mm),1,4.5,0.37457144054654457,0.013862511570133426,1.6855714824594505,0.062381302065600414,-1.0384633340080869,0.28237727405720886,-2.806151839733328,0.06177024002131054,1.6807797061005203,0.26786314872606376
25,150,FDTS,film,1.5,19,down mid noz dist (mm),1,4.5,0.6610084244939021,0.24239019413122112,2.9745379102225593,1.090755873590495,0.07303624722828006,0.003926481864545086,0.005147398136647259,0.004866956237524107,0.05849867793994647,0.003788034028246265
25,150,FDTS,film,1.5,20,down mid sub dist (mm),1,4.5,1.5203193763359728,0.34861884828187517,6.841437193511878,1.5687848172684382,0.024819983177248914,0.008870895771250671,0.06976454948509184,0.0036167706811987667,0.039852560633444584,0.006672556626648211
25,150,FDTS,film,1.5,21,down mid Si dist (mm),1,4.5,,,,,-2.806151839733328,0.04811563885981655,,,,
25,150,FDTS,film,1.5,22,up right outer radius (mm),1,4.5,0.4406722829959353,0.2624523625823735,1.9830252734817089,1.1810356316206807,-0.4343583596295091,0.01206010867551996,-0.2580319273438058,0.009467875476929734,0.18553897980440381,0.008781682297084006
25,150,FDTS,film,1.5,23,up right inner radius (mm),1,4.5,0.3966050546963409,0.3902251127004698,1.784722746133534,1.756013007152114,0.18181492775157773,0.0005222841520806077,0.180720961425648,0.0005395243884429331,0.00024801666141004153,0.00021387035478777867
25,150,FDTS,film,1.5,24,up right Laplace pressure (Pa),1,4.5,0.42965547592103626,0.27873672699738467,1.9334496416446632,1.254315271488231,131.4610441728551,2.618067134358724,73.04020670656232,9.346504057045852,53.67709319705993,7.9660372799268915
25,150,FDTS,film,1.5,25,up left outer radius (mm),1,4.5,0.3084705980971538,0.085985220566174,1.3881176914371922,0.386933492547783,-0.24382417751508098,0.014132663355330654,-0.11458244314651259,0.004901613554400938,0.1292417343685684,0.014608207067343322
25,150,FDTS,film,1.5,26,up left inner radius (mm),1,4.5,0.3966050546963409,0.3902251127004698,1.784722746133534,1.756013007152114,0.18181492775157773,0.0005222841520806077,0.180720961425648,0.0005395243884429331,0.00024801666141004153,0.00021387035478777867
25,150,FDTS,film,1.5,27,up left Laplace pressure (Pa),1,4.5,0.44067228299593353,0.050565424318512034,1.9830252734817009,0.22754440943330415,53.060092809289,14.47924842793235,-173.3513122653583,13.14449698240111,206.93150255797644,18.958876928723193
25,150,FDTS,film,1.5,28,up mid outer radius (mm),1,4.5,0.6720252315688002,0.28316980510216894,3.024113542059601,1.2742641229597602,0.751657999113673,0.038206233132723415,0.1962096130442124,2.978973871436952,0.5554483860694607,3.001166446274459
25,150,FDTS,film,1.5,29,up mid inner radius (mm),1,4.5,0.3966050546963409,0.3902251127004698,1.784722746133534,1.756013007152114,0.18181492775157773,0.0005222841520806077,0.180720961425648,0.0005395243884429331,0.00024801666141004153,0.00021387035478777867
25,150,FDTS,film,1.5,30,up mid Laplace pressure (Pa),1,4.5,0.37457144054654457,0.059872788217368786,1.6855714824594505,0.2694275469781595,220.36270673618566,2.74376652316863,386.690563671062,9.007825795836231,170.0532945425929,10.58454079040756
25,150,FDTS,film,1.5,31,down right outer radius (mm),1,4.5,0.5838907749696141,0.14548860659547344,2.6275084873632633,0.6546987296796305,-0.11356823658430272,0.01942357355436615,-0.29291720209939626,0.11408356648832066,0.1722818691694919,0.11872167282636328
25,150,FDTS,film,1.5,32,down right inner radius (mm),1,4.5,0.3966050546963409,0.3902251127004698,1.784722746133534,1.756013007152114,0.18181492775157773,0.0005222841520806077,0.180720961425648,0.0005395243884429331,0.00024801666141004153,0.00021387035478777867
25,150,FDTS,film,1.5,33,down right Laplace pressure (Pa),1,4.5,1.3440504631376005,0.20604014711786678,6.048227084119202,0.9271806620304005,151.09547286411245,50.795386445706676,-94.71518770128421,39.03998588232485,179.36845390184715,50.53872065195389
