TEGDMA,h (um),nozzle,substrate,vf (mm/s),column,dependent variable,line index,vs (mm/s),period (s),stder period (s),period (mm),stder period (mm),top value,stder top value,bot value,stder bot value,amplitude,stder amplitude
20,150,FDTS,film,1.5,6,up right Si dist (mm),1,4.5,,,,,0.609346764,0.001276372,,,,
20,150,FDTS,film,1.5,12,up mid Si dist (mm),1,4.5,,,,,0.509389934,0.002470471,,,,
20,150,FDTS,film,1.5,13,down right noz dist (mm),1,4.5,,,,,0.017468319,0.001128178,,,,
20,150,FDTS,film,1.5,14,down right sub dist (mm),1,4.5,,,,,0.175132627,0.001261678,,,,
20,150,FDTS,film,1.5,15,down right Si dist (mm),1,4.5,,,,,-0.008075072,6.72E-06,,,,
20,150,FDTS,film,1.5,19,down mid noz dist (mm),1,4.5,,,,,0.029408975,0.001416663,,,,
20,150,FDTS,film,1.5,20,down mid sub dist (mm),1,4.5,,,,,0.066455917,0.002448451,,,,
20,150,FDTS,film,1.5,21,down mid Si dist (mm),1,4.5,,,,,-2.866424824,0.122842846,,,,
20,150,FDTS,film,1.5,30,up mid Laplace pressure (Pa),1,4.5,,,,,386.6874725,2.693900791,,,,
20,150,FDTS,film,1.5,33,down right Laplace pressure (Pa),1,4.5,,,,,154.6833374,3.767074001,,,,
20,150,FDTS,film,1.5,40,up right to left pressure (Pa),1,4.5,,,,,,,,,,
20,150,FDTS,film,1.5,41,up right to mid pressure (Pa),1,4.5,,,,,516.0073666,13.07941783,,,,
20,150,FDTS,film,1.5,42,up left to mid pressure (Pa),1,4.5,,,,,,,,,,
20,150,FDTS,film,1.5,43,down right to left pressure (Pa),1,4.5,,,,,87.64788983,8.906756685,,,,
20,150,FDTS,film,1.5,44,down right to mid pressure (Pa),1,4.5,,,,,80.44594569,3.286650574,,,,
20,150,FDTS,film,1.5,45,down left to mid pressure (Pa),1,4.5,,,,,1.130109706,0.089890197,,,,
20,150,FDTS,film,1.5,46,SL contact angle (deg),1,4.5,,,,,158.4387058,1.061652582,,,,
20,150,FDTS,film,1.5,47,BL contact angle (deg),1,4.5,,,,,4.776265346,0.153823358,,,,
20,150,FDTS,film,1.5,48,SiL contact angle (deg),1,4.5,,,,,70.7635627,0.128471208,,,,
20,150,FDTS,film,1.5,49,SL contact point channel dist (mm),1,4.5,,,,,-0.033743735,0.001637751,,,,
20,150,FDTS,film,1.5,50,SiL contact point nozzle dist (mm),1,4.5,,,,,0.015437193,0.000702938,,,,
20,150,FDTS,film,1.5,51,Laplace pressure upstream to downstream,1,4.5,,,,,241.9313751,5.41174366,,,,
20,150,FDTS,film,1.5,6,up right Si dist (mm),2,4.5,,,,,0.609346764,0.000287982,,,,
20,150,FDTS,film,1.5,12,up mid Si dist (mm),2,4.5,,,,,0.513933426,0.002887973,,,,
20,150,FDTS,film,1.5,13,down right noz dist (mm),2,4.5,,,,,0.014399457,0.000293892,,,,
20,150,FDTS,film,1.5,14,down right sub dist (mm),2,4.5,,,,,0.169980873,0.000570364,,,,
20,150,FDTS,film,1.5,15,down right Si dist (mm),2,4.5,,,,,-0.008097014,1.80E-06,,,,
20,150,FDTS,film,1.5,19,down mid noz dist (mm),2,4.5,,,,,0.02743312,0.000702046,,,,
20,150,FDTS,film,1.5,20,down mid sub dist (mm),2,4.5,,,,,0.058244415,0.001040457,,,,
20,150,FDTS,film,1.5,21,down mid Si dist (mm),2,4.5,,,,,-2.866424824,0.092341977,,,,
20,150,FDTS,film,1.5,30,up mid Laplace pressure (Pa),2,4.5,,,,,384.4317077,4.050217969,,,,
20,150,FDTS,film,1.5,33,down right Laplace pressure (Pa),2,4.5,,,,,147.0158674,1.090613895,,,,
