TEGDMA,h,noz,sub,vf,vs,line,thickness (mm)
25,100,FDTS,film,1.5,1.5,1,0.047404699
25,100,FDTS,film,1.5,1.5,2,0.04216416
25,100,FDTS,film,1.5,1.5,3,0.024520714
25,100,FDTS,film,1.5,2.5,4,0.040190256
25,100,FDTS,film,1.5,2.5,5,0.044755494
25,100,FDTS,film,1.5,2.5,6,0.034654116
25,100,FDTS,film,1.5,3.5,7,0.027398045
25,100,FDTS,film,1.5,3.5,8,0.028447664
25,100,FDTS,film,1.5,3.5,9,
25,100,FDTS,film,1.5,4.5,1,0.036952299
25,100,FDTS,film,1.5,4.5,2,0.029378496
25,100,FDTS,film,1.5,4.5,3,0.029806871
25,100,FDTS,film,1.5,5.5,4,0.031823446
25,100,FDTS,film,1.5,5.5,5,0.032781257
25,100,FDTS,film,1.5,5.5,6,0.030826682
25,100,FDTS,film,1.5,6.5,7,0.024132102
25,100,FDTS,film,1.5,6.5,8,0.02056278
25,100,FDTS,film,1.5,6.5,9,
25,100,FDTS,film,2.5,1.5,1,0.086120327
25,100,FDTS,film,2.5,1.5,2,0.090635077
25,100,FDTS,film,2.5,1.5,3,0.097053287
25,100,FDTS,film,2.5,2.5,4,0.053803421
25,100,FDTS,film,2.5,2.5,5,0.053991815
25,100,FDTS,film,2.5,2.5,6,0.059899681
25,100,FDTS,film,2.5,3.5,7,0.04741737
25,100,FDTS,film,2.5,3.5,8,0.047179732
25,100,FDTS,film,2.5,3.5,9,0.041392372
25,100,FDTS,film,2.5,4.5,1,0.052265668
25,100,FDTS,film,2.5,4.5,2,0.042575465
25,100,FDTS,film,2.5,4.5,3,0.022664336
25,100,FDTS,film,2.5,5.5,4,0.04566432
25,100,FDTS,film,2.5,5.5,5,0.049971963
25,100,FDTS,film,2.5,5.5,6,0.043204276
25,100,FDTS,film,2.5,6.5,7,0.042671894
25,100,FDTS,film,2.5,6.5,8,0.041675965
25,100,FDTS,film,2.5,6.5,9,0.028928052
25,100,FDTS,film,3.5,1.5,1,0.111945347
25,100,FDTS,film,3.5,1.5,2,0.09415067
25,100,FDTS,film,3.5,1.5,3,0.119760457
25,100,FDTS,film,3.5,2.5,4,0.091068234
25,100,FDTS,film,3.5,2.5,5,0.072826032
25,100,FDTS,film,3.5,2.5,6,0.079498361
25,100,FDTS,film,3.5,3.5,7,0.059748223
25,100,FDTS,film,3.5,3.5,8,0.063327546
25,100,FDTS,film,3.5,3.5,9,0.067610282
25,100,FDTS,film,3.5,4.5,1,0.061527609
25,100,FDTS,film,3.5,4.5,2,0.057850821
25,100,FDTS,film,3.5,4.5,3,0.063331245
25,100,FDTS,film,3.5,5.5,4,0.060024031
25,100,FDTS,film,3.5,5.5,5,0.060059192
25,100,FDTS,film,3.5,5.5,6,0.059667734
25,100,FDTS,film,3.5,6.5,7,0.058577232
25,100,FDTS,film,3.5,6.5,8,0.053887784
25,100,FDTS,film,3.5,6.5,9,0.057679701
25,100,FDTS,film,4.5,1.5,1,0.138030044
25,100,FDTS,film,4.5,1.5,2,0.123787451
25,100,FDTS,film,4.5,1.5,3,0.146560243
25,100,FDTS,film,4.5,2.5,4,0.095508394
25,100,FDTS,film,4.5,2.5,5,0.099334053
25,100,FDTS,film,4.5,2.5,6,0.093712351
25,100,FDTS,film,4.5,3.5,7,0.081020454
25,100,FDTS,film,4.5,3.5,8,0.086621675
25,100,FDTS,film,4.5,3.5,9,0.081699973
25,100,FDTS,film,4.5,4.5,1,0.071092724
25,100,FDTS,film,4.5,4.5,2,0.044034242
25,100,FDTS,film,4.5,4.5,3,0.069908261
25,100,FDTS,film,4.5,5.5,4,0.060705617
25,100,FDTS,film,4.5,5.5,5,0.062219132
25,100,FDTS,film,4.5,5.5,6,0.065880796
25,100,FDTS,film,4.5,6.5,7,0.057721824
25,100,FDTS,film,4.5,6.5,8,0.053067296
25,100,FDTS,film,4.5,6.5,9,0.061373012
25,100,FDTS,film,5.5,1.5,1,0.156649406
25,100,FDTS,film,5.5,1.5,2,0.169832102
25,100,FDTS,film,5.5,1.5,3,0.145510854
25,100,FDTS,film,5.5,2.5,4,0.101678
25,100,FDTS,film,5.5,2.5,5,0.0869125
25,100,FDTS,film,5.5,2.5,6,0.0926112
25,100,FDTS,film,5.5,3.5,7,0.0713141
25,100,FDTS,film,5.5,3.5,8,0.0596674
25,100,FDTS,film,5.5,3.5,9,0.0562339
25,100,FDTS,film,5.5,4.5,1,0.068825216
25,100,FDTS,film,5.5,4.5,2,0.076874128
25,100,FDTS,film,5.5,4.5,3,0.066402765
25,100,FDTS,film,5.5,5.5,4,0.054762638
25,100,FDTS,film,5.5,5.5,5,0.053387582
25,100,FDTS,film,5.5,5.5,6,0.070205648
25,100,FDTS,film,5.5,6.5,7,0.064884279
25,100,FDTS,film,5.5,6.5,8,0.069025103
25,100,FDTS,film,5.5,6.5,9,0.073817598
25,150,FDTS,film,1.5,1.5,1,0.089267555
25,150,FDTS,film,1.5,1.5,2,0.09614014
25,150,FDTS,film,1.5,1.5,3,0.086656468
25,150,FDTS,film,1.5,2.5,4,0.066115982
25,150,FDTS,film,1.5,2.5,5,0.062221484
25,150,FDTS,film,1.5,2.5,6,0.069362263
25,150,FDTS,film,1.5,3.5,7,0.062293517
25,150,FDTS,film,1.5,3.5,8,0.061510974
25,150,FDTS,film,1.5,3.5,9,0.064273649
25,150,FDTS,film,1.5,4.5,1,
25,150,FDTS,film,1.5,4.5,2,
25,150,FDTS,film,1.5,4.5,3,
25,150,FDTS,film,1.5,5.5,4,
25,150,FDTS,film,1.5,5.5,5,
25,150,FDTS,film,1.5,5.5,6,
25,150,FDTS,film,1.5,6.5,7,
25,150,FDTS,film,1.5,6.5,8,
25,150,FDTS,film,1.5,6.5,9,
25,150,FDTS,film,2.5,1.5,1,0.125624066
